Season,Round,Constructor-Position,Constructor,Nation,Points,Wins
2010,15,1,Red Bull,Austrian,383,6
2010,15,2,McLaren,British,359,5
2010,15,3,Ferrari,Italian,319,4
2010,15,4,Mercedes,German,168,0
2010,15,5,Renault,French,133,0
2010,15,6,Force India,Indian,60,0
2010,15,7,Williams,British,56,0
2010,15,8,Sauber,Swiss,27,0
2010,15,9,Toro Rosso,Italian,10,0
2010,15,10,Lotus,Malaysian,0,0
2010,15,11,HRT,Spanish,0,0
2010,15,12,Virgin,British,0,0
