Season,Round,Constructor-Position,Constructor,Nation,Points,Wins
2020,16,1,Mercedes,German,540,13
2020,16,2,Red Bull,Austrian,282,1
2020,16,3,Racing Point,British,194,1
2020,16,4,McLaren,British,184,0
2020,16,5,Renault,French,172,0
2020,16,6,Ferrari,Italian,131,0
2020,16,7,AlphaTauri,Italian,103,1
2020,16,8,Alfa Romeo,Swiss,8,0
2020,16,9,Haas F1 Team,American,3,0
2020,16,10,Williams,British,0,0
