Season,Round,Constructor-Position,Constructor,Nation,Points,Wins
2004,13,1,Ferrari,Italian,202,12
2004,13,2,Renault,French,91,1
2004,13,3,BAR,British,83,0
2004,13,4,Williams,British,54,0
2004,13,5,McLaren,British,37,0
2004,13,6,Sauber,Swiss,19,0
2004,13,7,Toyota,Japanese,8,0
2004,13,8,Jaguar,British,7,0
2004,13,9,Jordan,Irish,5,0
2004,13,10,Minardi,Italian,1,0
