Season,Round,RaceName,Position,DriverID,FirstName,FamilyName,Nationality,constructor,Q1_time,Q2_time,Q3_time
2021,10,British Grand Prix,1,HAM,Lewis,Hamilton,British,Mercedes,1:26.786,1:26.023,1:26.134
2021,10,British Grand Prix,2,VER,Max,Verstappen,Dutch,Red Bull,1:26.751,1:26.315,1:26.209
2021,10,British Grand Prix,3,BOT,Valtteri,Bottas,Finnish,Mercedes,1:27.487,1:26.764,1:26.328
2021,10,British Grand Prix,4,LEC,Charles,Leclerc,Monegasque,Ferrari,1:27.051,1:26.919,1:26.828
2021,10,British Grand Prix,5,PER,Sergio,Pérez,Mexican,Red Bull,1:27.121,1:27.073,1:26.844
2021,10,British Grand Prix,6,NOR,Lando,Norris,British,McLaren,1:27.444,1:27.220,1:26.897
2021,10,British Grand Prix,7,RIC,Daniel,Ricciardo,Australian,McLaren,1:27.323,1:27.125,1:26.899
2021,10,British Grand Prix,8,RUS,George,Russell,British,Williams,1:27.671,1:27.080,1:26.971
2021,10,British Grand Prix,9,SAI,Carlos,Sainz,Spanish,Ferrari,1:27.337,1:26.848,1:27.007
2021,10,British Grand Prix,10,VET,Sebastian,Vettel,German,Aston Martin,1:27.493,1:27.103,1:27.179
2021,10,British Grand Prix,11,ALO,Fernando,Alonso,Spanish,Alpine F1 Team,1:27.580,1:27.245,
2021,10,British Grand Prix,12,GAS,Pierre,Gasly,French,AlphaTauri,1:27.600,1:27.273,
2021,10,British Grand Prix,13,OCO,Esteban,Ocon,French,Alpine F1 Team,1:27.415,1:27.340,
2021,10,British Grand Prix,14,GIO,Antonio,Giovinazzi,Italian,Alfa Romeo,1:27.595,1:27.617,
2021,10,British Grand Prix,15,STR,Lance,Stroll,Canadian,Aston Martin,1:28.017,1:27.665,
2021,10,British Grand Prix,16,TSU,Yuki,Tsunoda,Japanese,AlphaTauri,1:28.043,,
2021,10,British Grand Prix,17,RAI,Kimi,Räikkönen,Finnish,Alfa Romeo,1:28.062,,
2021,10,British Grand Prix,18,LAT,Nicholas,Latifi,Canadian,Williams,1:28.254,,
2021,10,British Grand Prix,19,MSC,Mick,Schumacher,German,Haas F1 Team,1:28.738,,
2021,10,British Grand Prix,20,MAZ,Nikita,Mazepin,Russian,Haas F1 Team,1:29.051,,
