Season,Round,Constructor-Position,Constructor,Nation,Points,Wins
2011,18,1,Red Bull,Austrian,607,11
2011,18,2,McLaren,British,482,6
2011,18,3,Ferrari,Italian,353,1
2011,18,4,Mercedes,German,159,0
2011,18,5,Renault,French,72,0
2011,18,6,Force India,Indian,57,0
2011,18,7,Sauber,Swiss,42,0
2011,18,8,Toro Rosso,Italian,41,0
2011,18,9,Williams,British,5,0
2011,18,10,Lotus,Malaysian,0,0
2011,18,11,HRT,Spanish,0,0
2011,18,12,Virgin,British,0,0
