Season,Round,Constructor-Position,Constructor,Nation,Points,Wins
2021,1,1,Mercedes,German,41,1
2021,1,2,Red Bull,Austrian,28,0
2021,1,3,McLaren,British,18,0
2021,1,4,Ferrari,Italian,12,0
2021,1,5,AlphaTauri,Italian,2,0
2021,1,6,Aston Martin,British,1,0
2021,1,7,Alfa Romeo,Swiss,0,0
2021,1,8,Alpine F1 Team,French,0,0
2021,1,9,Williams,British,0,0
2021,1,10,Haas F1 Team,American,0,0
