Season,Round,Constructor-Position,Constructor,Nation,Points,Wins
2020,1,1,Mercedes,German,37,1
2020,1,2,McLaren,British,26,0
2020,1,3,Ferrari,Italian,19,0
2020,1,4,Racing Point,British,8,0
2020,1,5,AlphaTauri,Italian,6,0
2020,1,6,Renault,French,4,0
2020,1,7,Alfa Romeo,Swiss,2,0
2020,1,8,Williams,British,0,0
2020,1,9,Red Bull,Austrian,0,0
2020,1,10,Haas F1 Team,American,0,0
