Season,Round,Championship Position,DriverID,FirstName,FamilyName,Nationaility,Points
2012,7,1,hamilton,Lewis,Hamilton,British,88
2012,7,2,alonso,Fernando,Alonso,Spanish,86
2012,7,3,vettel,Sebastian,Vettel,German,85
2012,7,4,webber,Mark,Webber,Australian,79
2012,7,5,rosberg,Nico,Rosberg,German,67
2012,7,6,raikkonen,Kimi,Räikkönen,Finnish,55
2012,7,7,grosjean,Romain,Grosjean,French,53
2012,7,8,button,Jenson,Button,British,45
2012,7,9,perez,Sergio,Pérez,Mexican,37
2012,7,10,maldonado,Pastor,Maldonado,Venezuelan,29
2012,7,11,kobayashi,Kamui,Kobayashi,Japanese,21
2012,7,12,resta,Paul,di Resta,British,21
2012,7,13,bruno_senna,Bruno,Senna,Brazilian,15
2012,7,14,massa,Felipe,Massa,Brazilian,11
2012,7,15,hulkenberg,Nico,Hülkenberg,German,7
2012,7,16,vergne,Jean-Éric,Vergne,French,4
2012,7,17,ricciardo,Daniel,Ricciardo,Australian,2
2012,7,18,michael_schumacher,Michael,Schumacher,German,2
2012,7,19,kovalainen,Heikki,Kovalainen,Finnish,0
2012,7,20,glock,Timo,Glock,German,0
2012,7,21,pic,Charles,Pic,French,0
2012,7,22,karthikeyan,Narain,Karthikeyan,Indian,0
2012,7,23,petrov,Vitaly,Petrov,Russian,0
2012,7,24,rosa,Pedro,de la Rosa,Spanish,0
