Season,Round,Constructor-Position,Constructor,Nation,Points,Wins
2021,2,1,Mercedes,German,60,1
2021,2,2,Red Bull,Austrian,53,1
2021,2,3,McLaren,British,41,0
2021,2,4,Ferrari,Italian,34,0
2021,2,5,AlphaTauri,Italian,8,0
2021,2,6,Aston Martin,British,5,0
2021,2,7,Alpine F1 Team,French,3,0
2021,2,8,Alfa Romeo,Swiss,0,0
2021,2,9,Williams,British,0,0
2021,2,10,Haas F1 Team,American,0,0
