Season,Round,Constructor-Position,Constructor,Nation,Points,Wins
2021,4,1,Mercedes,German,141,3
2021,4,2,Red Bull,Austrian,112,1
2021,4,3,McLaren,British,65,0
2021,4,4,Ferrari,Italian,60,0
2021,4,5,Alpine F1 Team,French,15,0
2021,4,6,AlphaTauri,Italian,10,0
2021,4,7,Aston Martin,British,5,0
2021,4,8,Alfa Romeo,Swiss,0,0
2021,4,9,Williams,British,0,0
2021,4,10,Haas F1 Team,American,0,0
