Season,Round,Constructor-Position,Constructor,Nation,Points,Wins
2002,10,1,Ferrari,Italian,118,8
2002,10,2,Williams,British,61,1
2002,10,3,McLaren,British,37,1
2002,10,4,Renault,French,14,0
2002,10,5,Sauber,Swiss,10,0
2002,10,6,Jordan,Irish,6,0
2002,10,7,BAR,British,5,0
2002,10,8,Jaguar,British,3,0
2002,10,9,Minardi,Italian,2,0
2002,10,10,Toyota,Japanese,2,0
2002,10,11,Arrows,British,2,0
