Season,Round,Championship Position,DriverID,FirstName,FamilyName,Nationaility,Points
2022,20,1,max_verstappen,Max,Verstappen,Dutch,416
2022,20,2,perez,Sergio,Pérez,Mexican,280
2022,20,3,leclerc,Charles,Leclerc,Monegasque,275
2022,20,4,russell,George,Russell,British,231
2022,20,5,hamilton,Lewis,Hamilton,British,216
2022,20,6,sainz,Carlos,Sainz,Spanish,212
2022,20,7,norris,Lando,Norris,British,111
2022,20,8,ocon,Esteban,Ocon,French,82
2022,20,9,alonso,Fernando,Alonso,Spanish,71
2022,20,10,bottas,Valtteri,Bottas,Finnish,47
2022,20,11,vettel,Sebastian,Vettel,German,36
2022,20,12,ricciardo,Daniel,Ricciardo,Australian,35
2022,20,13,kevin_magnussen,Kevin,Magnussen,Danish,24
2022,20,14,gasly,Pierre,Gasly,French,23
2022,20,15,stroll,Lance,Stroll,Canadian,13
2022,20,16,mick_schumacher,Mick,Schumacher,German,12
2022,20,17,tsunoda,Yuki,Tsunoda,Japanese,12
2022,20,18,zhou,Guanyu,Zhou,Chinese,6
2022,20,19,albon,Alexander,Albon,Thai,4
2022,20,20,latifi,Nicholas,Latifi,Canadian,2
2022,20,21,de_vries,Nyck,de Vries,Dutch,2
2022,20,22,hulkenberg,Nico,Hülkenberg,German,0
