Season,Round,RaceName,Position,DriverID,FirstName,FamilyName,Nationality,constructor,Q1_time,Q2_time,Q3_time
2020,7,Belgian Grand Prix,1,HAM,Lewis,Hamilton,British,Mercedes,1:42.323,1:42.014,1:41.252
2020,7,Belgian Grand Prix,2,BOT,Valtteri,Bottas,Finnish,Mercedes,1:42.534,1:42.126,1:41.763
2020,7,Belgian Grand Prix,3,VER,Max,Verstappen,Dutch,Red Bull,1:43.197,1:42.473,1:41.778
2020,7,Belgian Grand Prix,4,RIC,Daniel,Ricciardo,Australian,Renault,1:43.309,1:42.487,1:42.061
2020,7,Belgian Grand Prix,5,ALB,Alexander,Albon,Thai,Red Bull,1:43.418,1:42.193,1:42.264
2020,7,Belgian Grand Prix,6,OCO,Esteban,Ocon,French,Renault,1:43.505,1:42.534,1:42.396
2020,7,Belgian Grand Prix,7,SAI,Carlos,Sainz,Spanish,McLaren,1:43.322,1:42.478,1:42.438
2020,7,Belgian Grand Prix,8,PER,Sergio,Pérez,Mexican,Racing Point,1:43.349,1:42.670,1:42.532
2020,7,Belgian Grand Prix,9,STR,Lance,Stroll,Canadian,Racing Point,1:43.265,1:42.491,1:42.603
2020,7,Belgian Grand Prix,10,NOR,Lando,Norris,British,McLaren,1:43.514,1:42.722,1:42.657
2020,7,Belgian Grand Prix,11,KVY,Daniil,Kvyat,Russian,AlphaTauri,1:43.267,1:42.730,
2020,7,Belgian Grand Prix,12,GAS,Pierre,Gasly,French,AlphaTauri,1:43.262,1:42.745,
2020,7,Belgian Grand Prix,13,LEC,Charles,Leclerc,Monegasque,Ferrari,1:43.656,1:42.996,
2020,7,Belgian Grand Prix,14,VET,Sebastian,Vettel,German,Ferrari,1:43.567,1:43.261,
2020,7,Belgian Grand Prix,15,RUS,George,Russell,British,Williams,1:43.630,1:43.468,
2020,7,Belgian Grand Prix,16,RAI,Kimi,Räikkönen,Finnish,Alfa Romeo,1:43.743,,
2020,7,Belgian Grand Prix,17,GRO,Romain,Grosjean,French,Haas F1 Team,1:43.838,,
2020,7,Belgian Grand Prix,18,GIO,Antonio,Giovinazzi,Italian,Alfa Romeo,1:43.950,,
2020,7,Belgian Grand Prix,19,LAT,Nicholas,Latifi,Canadian,Williams,1:44.138,,
2020,7,Belgian Grand Prix,20,MAG,Kevin,Magnussen,Danish,Haas F1 Team,1:44.314,,
