Season,Round,Championship Position,DriverID,FirstName,FamilyName,Nationaility,Points
2011,6,1,vettel,Sebastian,Vettel,German,143
2011,6,2,hamilton,Lewis,Hamilton,British,85
2011,6,3,webber,Mark,Webber,Australian,79
2011,6,4,button,Jenson,Button,British,76
2011,6,5,alonso,Fernando,Alonso,Spanish,69
2011,6,6,heidfeld,Nick,Heidfeld,German,29
2011,6,7,rosberg,Nico,Rosberg,German,26
2011,6,8,massa,Felipe,Massa,Brazilian,24
2011,6,9,petrov,Vitaly,Petrov,Russian,21
2011,6,10,kobayashi,Kamui,Kobayashi,Japanese,19
2011,6,11,michael_schumacher,Michael,Schumacher,German,14
2011,6,12,sutil,Adrian,Sutil,German,8
2011,6,13,buemi,Sébastien,Buemi,Swiss,7
2011,6,14,barrichello,Rubens,Barrichello,Brazilian,2
2011,6,15,perez,Sergio,Pérez,Mexican,2
2011,6,16,resta,Paul,di Resta,British,2
2011,6,17,alguersuari,Jaime,Alguersuari,Spanish,0
2011,6,18,trulli,Jarno,Trulli,Italian,0
2011,6,19,kovalainen,Heikki,Kovalainen,Finnish,0
2011,6,20,ambrosio,Jérôme,d'Ambrosio,Belgian,0
2011,6,21,maldonado,Pastor,Maldonado,Venezuelan,0
2011,6,22,glock,Timo,Glock,German,0
2011,6,23,liuzzi,Vitantonio,Liuzzi,Italian,0
2011,6,24,karthikeyan,Narain,Karthikeyan,Indian,0
