Season,Round,Championship Position,DriverID,FirstName,FamilyName,Nationaility,Points
2012,9,1,alonso,Fernando,Alonso,Spanish,129
2012,9,2,webber,Mark,Webber,Australian,116
2012,9,3,vettel,Sebastian,Vettel,German,100
2012,9,4,hamilton,Lewis,Hamilton,British,92
2012,9,5,raikkonen,Kimi,Räikkönen,Finnish,83
2012,9,6,rosberg,Nico,Rosberg,German,75
2012,9,7,grosjean,Romain,Grosjean,French,61
2012,9,8,button,Jenson,Button,British,50
2012,9,9,perez,Sergio,Pérez,Mexican,39
2012,9,10,maldonado,Pastor,Maldonado,Venezuelan,29
2012,9,11,resta,Paul,di Resta,British,27
2012,9,12,michael_schumacher,Michael,Schumacher,German,23
2012,9,13,massa,Felipe,Massa,Brazilian,23
2012,9,14,kobayashi,Kamui,Kobayashi,Japanese,21
2012,9,15,bruno_senna,Bruno,Senna,Brazilian,18
2012,9,16,hulkenberg,Nico,Hülkenberg,German,17
2012,9,17,vergne,Jean-Éric,Vergne,French,4
2012,9,18,ricciardo,Daniel,Ricciardo,Australian,2
2012,9,19,kovalainen,Heikki,Kovalainen,Finnish,0
2012,9,20,petrov,Vitaly,Petrov,Russian,0
2012,9,21,glock,Timo,Glock,German,0
2012,9,22,pic,Charles,Pic,French,0
2012,9,23,karthikeyan,Narain,Karthikeyan,Indian,0
2012,9,24,rosa,Pedro,de la Rosa,Spanish,0
