Season,Round,Championship Position,DriverID,FirstName,FamilyName,Nationaility,Points
2019,4,1,bottas,Valtteri,Bottas,Finnish,87
2019,4,2,hamilton,Lewis,Hamilton,British,86
2019,4,3,vettel,Sebastian,Vettel,German,52
2019,4,4,max_verstappen,Max,Verstappen,Dutch,51
2019,4,5,leclerc,Charles,Leclerc,Monegasque,47
2019,4,6,perez,Sergio,Pérez,Mexican,13
2019,4,7,gasly,Pierre,Gasly,French,13
2019,4,8,raikkonen,Kimi,Räikkönen,Finnish,13
2019,4,9,norris,Lando,Norris,British,12
2019,4,10,kevin_magnussen,Kevin,Magnussen,Danish,8
2019,4,11,hulkenberg,Nico,Hülkenberg,German,6
2019,4,12,sainz,Carlos,Sainz,Spanish,6
2019,4,13,ricciardo,Daniel,Ricciardo,Australian,6
2019,4,14,stroll,Lance,Stroll,Canadian,4
2019,4,15,albon,Alexander,Albon,Thai,3
2019,4,16,kvyat,Daniil,Kvyat,Russian,1
2019,4,17,giovinazzi,Antonio,Giovinazzi,Italian,0
2019,4,18,grosjean,Romain,Grosjean,French,0
2019,4,19,russell,George,Russell,British,0
2019,4,20,kubica,Robert,Kubica,Polish,0
