Season,Round,Championship Position,DriverID,FirstName,FamilyName,Nationaility,Points
2020,10,1,hamilton,Lewis,Hamilton,British,205
2020,10,2,bottas,Valtteri,Bottas,Finnish,161
2020,10,3,max_verstappen,Max,Verstappen,Dutch,128
2020,10,4,norris,Lando,Norris,British,65
2020,10,5,albon,Alexander,Albon,Thai,64
2020,10,6,ricciardo,Daniel,Ricciardo,Australian,63
2020,10,7,leclerc,Charles,Leclerc,Monegasque,57
2020,10,8,stroll,Lance,Stroll,Canadian,57
2020,10,9,perez,Sergio,Pérez,Mexican,56
2020,10,10,gasly,Pierre,Gasly,French,45
2020,10,11,sainz,Carlos,Sainz,Spanish,41
2020,10,12,ocon,Esteban,Ocon,French,36
2020,10,13,vettel,Sebastian,Vettel,German,17
2020,10,14,kvyat,Daniil,Kvyat,Russian,14
2020,10,15,hulkenberg,Nico,Hülkenberg,German,6
2020,10,16,raikkonen,Kimi,Räikkönen,Finnish,2
2020,10,17,giovinazzi,Antonio,Giovinazzi,Italian,2
2020,10,18,kevin_magnussen,Kevin,Magnussen,Danish,1
2020,10,19,latifi,Nicholas,Latifi,Canadian,0
2020,10,20,russell,George,Russell,British,0
2020,10,21,grosjean,Romain,Grosjean,French,0
