Season,Round,Constructor-Position,Constructor,Nation,Points,Wins
2002,17,1,Ferrari,Italian,221,15
2002,17,2,Williams,British,92,1
2002,17,3,McLaren,British,65,1
2002,17,4,Renault,French,23,0
2002,17,5,Sauber,Swiss,11,0
2002,17,6,Jordan,Irish,9,0
2002,17,7,Jaguar,British,8,0
2002,17,8,BAR,British,7,0
2002,17,9,Minardi,Italian,2,0
2002,17,10,Toyota,Japanese,2,0
2002,17,11,Arrows,British,2,0
