Season,Round,RaceName,Position,DriverID,FirstName,FamilyName,Nationality,constructor,Q1_time,Q2_time,Q3_time
2018,14,Italian Grand Prix,1,RAI,Kimi,Räikkönen,Finnish,Ferrari,1:20.722,1:19.846,1:19.119
2018,14,Italian Grand Prix,2,VET,Sebastian,Vettel,German,Ferrari,1:20.542,1:19.629,1:19.280
2018,14,Italian Grand Prix,3,HAM,Lewis,Hamilton,British,Mercedes,1:20.810,1:19.798,1:19.294
2018,14,Italian Grand Prix,4,BOT,Valtteri,Bottas,Finnish,Mercedes,1:21.381,1:20.427,1:19.656
2018,14,Italian Grand Prix,5,VER,Max,Verstappen,Dutch,Red Bull,1:21.381,1:20.333,1:20.615
2018,14,Italian Grand Prix,6,GRO,Romain,Grosjean,French,Haas F1 Team,1:21.887,1:21.239,1:20.936
2018,14,Italian Grand Prix,7,SAI,Carlos,Sainz,Spanish,Renault,1:21.732,1:21.552,1:21.041
2018,14,Italian Grand Prix,8,OCO,Esteban,Ocon,French,Force India,1:21.570,1:21.315,1:21.099
2018,14,Italian Grand Prix,9,GAS,Pierre,Gasly,French,Toro Rosso,1:21.834,1:21.667,1:21.350
2018,14,Italian Grand Prix,10,STR,Lance,Stroll,Canadian,Williams,1:21.838,1:21.494,1:21.627
2018,14,Italian Grand Prix,11,MAG,Kevin,Magnussen,Danish,Haas F1 Team,1:21.783,1:21.669,
2018,14,Italian Grand Prix,12,SIR,Sergey,Sirotkin,Russian,Williams,1:21.813,1:21.732,
2018,14,Italian Grand Prix,13,ALO,Fernando,Alonso,Spanish,McLaren,1:21.850,1:22.568,
2018,14,Italian Grand Prix,14,HUL,Nico,Hülkenberg,German,Renault,1:21.801,,
2018,14,Italian Grand Prix,15,RIC,Daniel,Ricciardo,Australian,Red Bull,1:21.280,,
2018,14,Italian Grand Prix,16,PER,Sergio,Pérez,Mexican,Force India,1:21.888,,
2018,14,Italian Grand Prix,17,LEC,Charles,Leclerc,Monegasque,Sauber,1:21.889,,
2018,14,Italian Grand Prix,18,HAR,Brendon,Hartley,New Zealander,Toro Rosso,1:21.934,,
2018,14,Italian Grand Prix,19,ERI,Marcus,Ericsson,Swedish,Sauber,1:22.048,,
2018,14,Italian Grand Prix,20,VAN,Stoffel,Vandoorne,Belgian,McLaren,1:22.085,,
