Season,Round,Constructor-Position,Constructor,Nation,Points,Wins
2021,21,1,Mercedes,German,587.5,9
2021,21,2,Red Bull,Austrian,559.5,10
2021,21,3,Ferrari,Italian,307.5,0
2021,21,4,McLaren,British,269,1
2021,21,5,Alpine F1 Team,French,149,1
2021,21,6,AlphaTauri,Italian,120,0
2021,21,7,Aston Martin,British,77,0
2021,21,8,Williams,British,23,0
2021,21,9,Alfa Romeo,Swiss,13,0
2021,21,10,Haas F1 Team,American,0,0
