Season,Round,Constructor-Position,Constructor,Nation,Points,Wins
2018,15,1,Mercedes,German,452,7
2018,15,2,Ferrari,Italian,415,5
2018,15,3,Red Bull,Austrian,274,3
2018,15,4,Renault,French,91,0
2018,15,5,Haas F1 Team,American,76,0
2018,15,6,McLaren,British,58,0
2018,15,7,Force India,Indian,32,0
2018,15,8,Toro Rosso,Italian,30,0
2018,15,9,Sauber,Swiss,21,0
2018,15,10,Williams,British,7,0
