Season,Round,Constructor-Position,Constructor,Nation,Points,Wins
2020,11,1,Mercedes,German,391,9
2020,11,2,Red Bull,Austrian,211,1
2020,11,3,Racing Point,British,120,0
2020,11,4,McLaren,British,116,0
2020,11,5,Renault,French,114,0
2020,11,6,Ferrari,Italian,80,0
2020,11,7,AlphaTauri,Italian,67,1
2020,11,8,Alfa Romeo,Swiss,5,0
2020,11,9,Haas F1 Team,American,3,0
2020,11,10,Williams,British,0,0
