Season,Round,Championship Position,DriverID,FirstName,FamilyName,Nationaility,Points
2021,18,1,max_verstappen,Max,Verstappen,Dutch,312.5
2021,18,2,hamilton,Lewis,Hamilton,British,293.5
2021,18,3,bottas,Valtteri,Bottas,Finnish,185
2021,18,4,perez,Sergio,Pérez,Mexican,165
2021,18,5,norris,Lando,Norris,British,150
2021,18,6,leclerc,Charles,Leclerc,Monegasque,138
2021,18,7,sainz,Carlos,Sainz,Spanish,130.5
2021,18,8,ricciardo,Daniel,Ricciardo,Australian,105
2021,18,9,gasly,Pierre,Gasly,French,86
2021,18,10,alonso,Fernando,Alonso,Spanish,60
2021,18,11,ocon,Esteban,Ocon,French,46
2021,18,12,vettel,Sebastian,Vettel,German,42
2021,18,13,stroll,Lance,Stroll,Canadian,26
2021,18,14,tsunoda,Yuki,Tsunoda,Japanese,20
2021,18,15,russell,George,Russell,British,16
2021,18,16,raikkonen,Kimi,Räikkönen,Finnish,10
2021,18,17,latifi,Nicholas,Latifi,Canadian,7
2021,18,18,giovinazzi,Antonio,Giovinazzi,Italian,1
2021,18,19,mick_schumacher,Mick,Schumacher,German,0
2021,18,20,kubica,Robert,Kubica,Polish,0
2021,18,21,mazepin,Nikita,Mazepin,Russian,0
