Season,Round,Championship Position,DriverID,FirstName,FamilyName,Nationaility,Points
2018,9,1,vettel,Sebastian,Vettel,German,146
2018,9,2,hamilton,Lewis,Hamilton,British,145
2018,9,3,raikkonen,Kimi,Räikkönen,Finnish,101
2018,9,4,ricciardo,Daniel,Ricciardo,Australian,96
2018,9,5,max_verstappen,Max,Verstappen,Dutch,93
2018,9,6,bottas,Valtteri,Bottas,Finnish,92
2018,9,7,kevin_magnussen,Kevin,Magnussen,Danish,37
2018,9,8,alonso,Fernando,Alonso,Spanish,36
2018,9,9,hulkenberg,Nico,Hülkenberg,German,34
2018,9,10,sainz,Carlos,Sainz,Spanish,28
2018,9,11,perez,Sergio,Pérez,Mexican,23
2018,9,12,ocon,Esteban,Ocon,French,19
2018,9,13,gasly,Pierre,Gasly,French,18
2018,9,14,leclerc,Charles,Leclerc,Monegasque,13
2018,9,15,grosjean,Romain,Grosjean,French,12
2018,9,16,vandoorne,Stoffel,Vandoorne,Belgian,8
2018,9,17,stroll,Lance,Stroll,Canadian,4
2018,9,18,ericsson,Marcus,Ericsson,Swedish,3
2018,9,19,brendon_hartley,Brendon,Hartley,New Zealander,1
2018,9,20,sirotkin,Sergey,Sirotkin,Russian,0
