Season,Round,RaceName,Position,DriverID,FirstName,FamilyName,Nationality,constructor,Q1_time,Q2_time,Q3_time
2023,18,United States Grand Prix,1,LEC,Charles,Leclerc,Monegasque,Ferrari,1:36.061,1:35.004,1:34.723
2023,18,United States Grand Prix,2,NOR,Lando,Norris,British,McLaren,1:35.110,1:35.441,1:34.853
2023,18,United States Grand Prix,3,HAM,Lewis,Hamilton,British,Mercedes,1:35.091,1:35.240,1:34.862
2023,18,United States Grand Prix,4,SAI,Carlos,Sainz,Spanish,Ferrari,1:35.824,1:35.302,1:34.945
2023,18,United States Grand Prix,5,RUS,George,Russell,British,Mercedes,1:36.165,1:35.606,1:35.079
2023,18,United States Grand Prix,6,VER,Max,Verstappen,Dutch,Red Bull,1:35.346,1:35.008,1:35.081
2023,18,United States Grand Prix,7,GAS,Pierre,Gasly,French,Alpine F1 Team,1:36.158,1:35.496,1:35.089
2023,18,United States Grand Prix,8,OCO,Esteban,Ocon,French,Alpine F1 Team,1:36.131,1:35.413,1:35.154
2023,18,United States Grand Prix,9,PER,Sergio,Pérez,Mexican,Red Bull,1:35.989,1:35.679,1:35.173
2023,18,United States Grand Prix,10,PIA,Oscar,Piastri,Australian,McLaren,1:36.064,1:35.576,1:35.467
2023,18,United States Grand Prix,11,TSU,Yuki,Tsunoda,Japanese,AlphaTauri,1:35.913,1:35.697,
2023,18,United States Grand Prix,12,ZHO,Guanyu,Zhou,Chinese,Alfa Romeo,1:36.052,1:35.698,
2023,18,United States Grand Prix,13,BOT,Valtteri,Bottas,Finnish,Alfa Romeo,1:36.082,1:35.858,
2023,18,United States Grand Prix,14,MAG,Kevin,Magnussen,Danish,Haas F1 Team,1:36.009,1:35.880,
2023,18,United States Grand Prix,15,RIC,Daniel,Ricciardo,Australian,AlphaTauri,1:36.213,1:35.974,
2023,18,United States Grand Prix,16,HUL,Nico,Hülkenberg,German,Haas F1 Team,1:36.235,,
2023,18,United States Grand Prix,17,ALO,Fernando,Alonso,Spanish,Aston Martin,1:36.268,,
2023,18,United States Grand Prix,18,ALB,Alexander,Albon,Thai,Williams,1:36.315,,
2023,18,United States Grand Prix,19,STR,Lance,Stroll,Canadian,Aston Martin,1:36.589,,
2023,18,United States Grand Prix,20,SAR,Logan,Sargeant,American,Williams,1:36.827,,
