Season,Round,Championship Position,DriverID,FirstName,FamilyName,Nationaility,Points
2021,19,1,max_verstappen,Max,Verstappen,Dutch,332.5
2021,19,2,hamilton,Lewis,Hamilton,British,318.5
2021,19,3,bottas,Valtteri,Bottas,Finnish,203
2021,19,4,perez,Sergio,Pérez,Mexican,178
2021,19,5,norris,Lando,Norris,British,151
2021,19,6,leclerc,Charles,Leclerc,Monegasque,148
2021,19,7,sainz,Carlos,Sainz,Spanish,139.5
2021,19,8,ricciardo,Daniel,Ricciardo,Australian,105
2021,19,9,gasly,Pierre,Gasly,French,92
2021,19,10,alonso,Fernando,Alonso,Spanish,62
2021,19,11,ocon,Esteban,Ocon,French,50
2021,19,12,vettel,Sebastian,Vettel,German,42
2021,19,13,stroll,Lance,Stroll,Canadian,26
2021,19,14,tsunoda,Yuki,Tsunoda,Japanese,20
2021,19,15,russell,George,Russell,British,16
2021,19,16,raikkonen,Kimi,Räikkönen,Finnish,10
2021,19,17,latifi,Nicholas,Latifi,Canadian,7
2021,19,18,giovinazzi,Antonio,Giovinazzi,Italian,1
2021,19,19,mick_schumacher,Mick,Schumacher,German,0
2021,19,20,kubica,Robert,Kubica,Polish,0
2021,19,21,mazepin,Nikita,Mazepin,Russian,0
