Season,Round,Championship Position,DriverID,FirstName,FamilyName,Nationaility,Points
2004,3,1,michael_schumacher,Michael,Schumacher,German,30
2004,3,2,barrichello,Rubens,Barrichello,Brazilian,21
2004,3,3,button,Jenson,Button,British,15
2004,3,4,montoya,Juan,Pablo Montoya,Colombian,12
2004,3,5,alonso,Fernando,Alonso,Spanish,11
2004,3,6,trulli,Jarno,Trulli,Italian,11
2004,3,7,ralf_schumacher,Ralf,Schumacher,German,7
2004,3,8,sato,Takuma,Sato,Japanese,4
2004,3,9,coulthard,David,Coulthard,British,4
2004,3,10,massa,Felipe,Massa,Brazilian,1
2004,3,11,webber,Mark,Webber,Australian,1
2004,3,12,matta,Cristiano,da Matta,Brazilian,0
2004,3,13,panis,Olivier,Panis,French,0
2004,3,14,fisichella,Giancarlo,Fisichella,Italian,0
2004,3,15,klien,Christian,Klien,Austrian,0
2004,3,16,pantano,Giorgio,Pantano,Italian,0
2004,3,17,bruni,Gianmaria,Bruni,Italian,0
2004,3,18,heidfeld,Nick,Heidfeld,German,0
2004,3,19,baumgartner,Zsolt,Baumgartner,Hungarian,0
