Season,Round,Championship Position,DriverID,FirstName,FamilyName,Nationaility,Points
2020,13,1,hamilton,Lewis,Hamilton,British,282
2020,13,2,bottas,Valtteri,Bottas,Finnish,197
2020,13,3,max_verstappen,Max,Verstappen,Dutch,162
2020,13,4,ricciardo,Daniel,Ricciardo,Australian,95
2020,13,5,leclerc,Charles,Leclerc,Monegasque,85
2020,13,6,perez,Sergio,Pérez,Mexican,82
2020,13,7,norris,Lando,Norris,British,69
2020,13,8,sainz,Carlos,Sainz,Spanish,65
2020,13,9,albon,Alexander,Albon,Thai,64
2020,13,10,gasly,Pierre,Gasly,French,63
2020,13,11,stroll,Lance,Stroll,Canadian,57
2020,13,12,ocon,Esteban,Ocon,French,40
2020,13,13,kvyat,Daniil,Kvyat,Russian,26
2020,13,14,vettel,Sebastian,Vettel,German,18
2020,13,15,hulkenberg,Nico,Hülkenberg,German,10
2020,13,16,raikkonen,Kimi,Räikkönen,Finnish,4
2020,13,17,giovinazzi,Antonio,Giovinazzi,Italian,4
2020,13,18,grosjean,Romain,Grosjean,French,2
2020,13,19,kevin_magnussen,Kevin,Magnussen,Danish,1
2020,13,20,latifi,Nicholas,Latifi,Canadian,0
2020,13,21,russell,George,Russell,British,0
