Season,Round,Championship Position,DriverID,FirstName,FamilyName,Nationaility,Points
2019,9,1,hamilton,Lewis,Hamilton,British,197
2019,9,2,bottas,Valtteri,Bottas,Finnish,166
2019,9,3,max_verstappen,Max,Verstappen,Dutch,126
2019,9,4,vettel,Sebastian,Vettel,German,123
2019,9,5,leclerc,Charles,Leclerc,Monegasque,105
2019,9,6,gasly,Pierre,Gasly,French,43
2019,9,7,sainz,Carlos,Sainz,Spanish,30
2019,9,8,norris,Lando,Norris,British,22
2019,9,9,raikkonen,Kimi,Räikkönen,Finnish,21
2019,9,10,ricciardo,Daniel,Ricciardo,Australian,16
2019,9,11,hulkenberg,Nico,Hülkenberg,German,16
2019,9,12,kevin_magnussen,Kevin,Magnussen,Danish,14
2019,9,13,perez,Sergio,Pérez,Mexican,13
2019,9,14,kvyat,Daniil,Kvyat,Russian,10
2019,9,15,albon,Alexander,Albon,Thai,7
2019,9,16,stroll,Lance,Stroll,Canadian,6
2019,9,17,grosjean,Romain,Grosjean,French,2
2019,9,18,giovinazzi,Antonio,Giovinazzi,Italian,1
2019,9,19,russell,George,Russell,British,0
2019,9,20,kubica,Robert,Kubica,Polish,0
