Season,Round,Championship Position,DriverID,FirstName,FamilyName,Nationaility,Points
2009,5,1,button,Jenson,Button,British,41
2009,5,2,barrichello,Rubens,Barrichello,Brazilian,27
2009,5,3,vettel,Sebastian,Vettel,German,23
2009,5,4,webber,Mark,Webber,Australian,15.5
2009,5,5,trulli,Jarno,Trulli,Italian,14.5
2009,5,6,glock,Timo,Glock,German,12
2009,5,7,hamilton,Lewis,Hamilton,British,9
2009,5,8,alonso,Fernando,Alonso,Spanish,9
2009,5,9,heidfeld,Nick,Heidfeld,German,6
2009,5,10,rosberg,Nico,Rosberg,German,4.5
2009,5,11,kovalainen,Heikki,Kovalainen,Finnish,4
2009,5,12,massa,Felipe,Massa,Brazilian,3
2009,5,13,raikkonen,Kimi,Räikkönen,Finnish,3
2009,5,14,buemi,Sébastien,Buemi,Swiss,3
2009,5,15,bourdais,Sébastien,Bourdais,French,1
2009,5,16,sutil,Adrian,Sutil,German,0
2009,5,17,piquet_jr,Nelson,Piquet Jr.,Brazilian,0
2009,5,18,kubica,Robert,Kubica,Polish,0
2009,5,19,fisichella,Giancarlo,Fisichella,Italian,0
2009,5,20,nakajima,Kazuki,Nakajima,Japanese,0
